22
200,Peace Avenue
201,DLC Bldg.(McArthur Highway, Balusong)
202,San Antonio Vill(Infront GSIS)
203,Davao Exec. Homes(Quimpo Blvd.)
112,SM CITY Davao
205,Philhealth Office
206,Agro School Foundation
114,Almendras Gym
208,BPI (Claveria)
209,Guerrero.cor. Magsaysay Ave.
210,F Bangoy cor. Magsaysay Ave.
211,Magsaysay Ave. (Park)
212,Suazo st. cor. Magsaysay Ave.
213,PLDT (Ponciano)
214,Fabie Hospital (Rizal st.)
118,Ma-a Crossing
216,Before Memorial Park (Shell Gas)
217,ABS-CBN (Bantay Bata 163)
121,Matina Crossing
219,7th Avenue
220,Crossing Royal Valley
221,Cor. San Juan/Royal Valley Road
